50000  0.0000  0  -nan  -nan  -nan
100000  0.4545  6  4.1667  51.9643  0.0520
150000  0.5818  6  5.3333  76.4899  0.0765
200000  0.3818  3  7.0000  103.3318  0.1033
250000  0.5636  5  6.2000  90.5801  0.0906
300000  0.7273  7  5.7143  81.6882  0.0817
350000  0.6364  4  8.7500  137.9920  0.1380
400000  0.7091  5  7.8000  126.5764  0.1266
450000  0.8182  5  9.0000  146.5496  0.1465
500000  0.8364  4  11.5000  198.7037  0.1987
550000  0.6545  3  12.0000  210.0820  0.2101
600000  0.4545  4  6.2500  109.7654  0.1098
650000  0.5636  4  7.7500  123.7406  0.1237
700000  0.6364  7  5.0000  70.2569  0.0703
750000  0.8545  5  9.4000  155.1533  0.1552
800000  0.7091  5  7.8000  136.8826  0.1369
850000  0.4545  4  6.2500  103.7453  0.1037
900000  0.4000  5  4.4000  56.9390  0.0569
950000  0.6727  5  7.4000  115.6854  0.1157
1000000  0.8000  6  7.3333  115.1232  0.1151
