80000  0.0000  0  -nan  -nan  -nan
160000  0.0800  1  4.0000  48.6973  0.0487
240000  0.0800  1  4.0000  53.5407  0.0535
320000  0.2200  3  3.6667  44.1733  0.0442
400000  0.2000  3  3.3333  40.8025  0.0408
480000  0.1200  2  3.0000  30.7438  0.0307
560000  0.2200  3  3.6667  45.3936  0.0454
640000  0.2000  3  3.3333  39.6074  0.0396
720000  0.1400  2  3.5000  43.3634  0.0434
800000  0.1200  2  3.0000  33.9711  0.0340
880000  0.1200  2  3.0000  34.5160  0.0345
960000  0.1400  2  3.5000  46.0894  0.0461
1040000  0.0800  1  4.0000  49.7231  0.0497
1120000  0.1400  2  3.5000  45.1691  0.0452
1200000  0.0600  1  3.0000  33.1978  0.0332
1280000  0.0000  0  -nan  -nan  -nan
1360000  0.1000  1  5.0000  69.7210  0.0697
1440000  0.1200  1  6.0000  89.9325  0.0899
1520000  0.1200  1  6.0000  89.6182  0.0896
1600000  0.0800  1  4.0000  47.2393  0.0472
