80000  0.0000  0  -nan  -nan  -nan
160000  0.0000  0  -nan  -nan  -nan
240000  0.1400  2  3.5000  43.8825  0.0439
320000  0.4400  4  5.5000  80.9443  0.0809
400000  0.5000  5  5.0000  73.1402  0.0731
480000  0.5400  6  4.5000  65.0021  0.0650
560000  0.4800  6  4.0000  54.9623  0.0550
640000  0.5400  6  4.5000  63.5854  0.0636
720000  0.4200  5  4.2000  59.9236  0.0599
800000  0.6600  8  4.1250  57.1156  0.0571
880000  0.7000  8  4.3750  64.2069  0.0642
960000  0.5800  8  3.6250  49.4696  0.0495
1040000  0.6400  8  4.0000  54.4101  0.0544
1120000  0.4200  5  4.2000  60.0692  0.0601
1200000  0.6600  8  4.1250  57.4155  0.0574
1280000  0.5800  7  4.1429  58.9228  0.0589
1360000  0.5200  7  3.7143  50.7086  0.0507
1440000  0.5600  7  4.0000  54.8498  0.0548
1520000  0.3400  3  5.6667  87.0692  0.0871
1600000  0.6400  7  4.5714  64.7489  0.0647
