20000  0.0000  0  -nan  -nan  -nan
40000  0.0000  0  -nan  -nan  -nan
60000  0.0000  0  -nan  -nan  -nan
80000  0.0600  1  3.0000  32.8744  0.0329
100000  0.0600  1  3.0000  34.4388  0.0344
120000  0.0600  1  3.0000  32.9646  0.0330
140000  0.1200  2  3.0000  30.8380  0.0308
160000  0.1200  2  3.0000  30.9003  0.0309
180000  0.1600  2  4.0000  48.9096  0.0489
200000  0.1600  2  4.0000  49.9618  0.0500
220000  0.1600  2  4.0000  48.4233  0.0484
240000  0.1600  2  4.0000  46.9870  0.0470
260000  0.2200  3  3.6667  44.0792  0.0441
280000  0.2600  3  4.3333  53.8645  0.0539
300000  0.2600  3  4.3333  53.8589  0.0539
320000  0.3200  4  4.0000  48.9440  0.0489
340000  0.4200  5  4.2000  53.0771  0.0531
360000  0.4200  5  4.2000  52.9832  0.0530
380000  0.5200  6  4.3333  55.4590  0.0555
400000  0.5200  6  4.3333  55.4570  0.0555
420000  0.5200  6  4.3333  54.9468  0.0549
440000  0.5200  6  4.3333  54.7472  0.0547
460000  0.5200  6  4.3333  54.6637  0.0547
480000  0.5800  7  4.1429  51.6463  0.0516
500000  0.5200  6  4.3333  54.4967  0.0545
520000  0.5800  7  4.1429  51.3305  0.0513
540000  0.5800  7  4.1429  51.2157  0.0512
560000  0.5800  6  4.8333  62.6101  0.0626
580000  0.5800  6  4.8333  62.0506  0.0621
600000  0.6200  6  5.1667  68.6844  0.0687
620000  0.5800  6  4.8333  61.8898  0.0619
640000  0.6400  7  4.5714  58.6200  0.0586
660000  0.6600  7  4.7143  61.0330  0.0610
680000  0.7400  7  5.2857  71.2926  0.0713
700000  0.6800  6  5.6667  77.0161  0.0770
720000  0.7600  6  6.3333  88.5849  0.0886
740000  0.7400  6  6.1667  85.5314  0.0855
760000  0.7400  5  7.4000  106.0805  0.1061
780000  0.7600  6  6.3333  87.2437  0.0872
800000  0.7800  6  6.5000  90.0692  0.0901
820000  0.7800  6  6.5000  89.7170  0.0897
840000  0.7400  6  6.1667  84.2086  0.0842
860000  0.7600  6  6.3333  87.0237  0.0870
880000  0.7800  6  6.5000  89.0820  0.0891
900000  0.7800  6  6.5000  89.1846  0.0892
920000  0.7600  6  6.3333  85.8708  0.0859
940000  0.7600  5  7.6000  107.7165  0.1077
960000  0.7600  5  7.6000  107.6732  0.1077
980000  0.7600  5  7.6000  106.7319  0.1067
1000000  0.7800  5  7.8000  110.4747  0.1105
1020000  0.7600  5  7.6000  106.5362  0.1065
1040000  0.7600  5  7.6000  106.9530  0.1070
1060000  0.7600  5  7.6000  106.9213  0.1069
1080000  0.7600  5  7.6000  106.0784  0.1061
1100000  0.7600  5  7.6000  106.2098  0.1062
1120000  0.7800  5  7.8000  110.1093  0.1101
1140000  0.8200  5  8.2000  117.8233  0.1178
1160000  0.8600  5  8.6000  124.4455  0.1244
1180000  0.9000  5  9.0000  130.2363  0.1302
1200000  0.9000  5  9.0000  130.3153  0.1303
