10000  0.0000  0  -nan  -nan  -nan
20000  0.0000  0  -nan  -nan  -nan
30000  0.0500  1  3.0000  30.6336  0.0306
40000  0.1000  2  3.0000  34.0150  0.0340
50000  0.1500  3  3.0000  34.5362  0.0345
60000  0.1500  3  3.0000  34.2693  0.0343
70000  0.1500  3  3.0000  34.4886  0.0345
80000  0.1000  2  3.0000  39.1147  0.0391
90000  0.1000  2  3.0000  39.3283  0.0393
100000  0.0000  0  -nan  -nan  -nan
110000  0.0500  1  3.0000  32.9525  0.0330
120000  0.0500  1  3.0000  31.7479  0.0317
130000  0.1000  2  3.0000  34.0675  0.0341
140000  0.1167  2  3.5000  43.0622  0.0431
150000  0.1167  2  3.5000  41.9487  0.0419
160000  0.1667  3  3.3333  39.4162  0.0394
170000  0.1500  2  4.5000  58.4008  0.0584
180000  0.1500  2  4.5000  58.3682  0.0584
190000  0.2000  3  4.0000  51.4469  0.0514
200000  0.2000  3  4.0000  51.2767  0.0513
210000  0.2167  3  4.3333  57.1966  0.0572
220000  0.2833  4  4.2500  55.7371  0.0557
230000  0.3333  5  4.0000  50.8543  0.0509
240000  0.3833  5  4.6000  59.4982  0.0595
250000  0.3833  4  5.7500  78.3866  0.0784
260000  0.4000  4  6.0000  83.1198  0.0831
270000  0.4000  4  6.0000  83.3540  0.0834
280000  0.4333  5  5.2000  71.0232  0.0710
290000  0.4667  6  4.6667  60.9483  0.0609
300000  0.5167  6  5.1667  69.1296  0.0691
310000  0.5333  6  5.3333  72.2561  0.0723
320000  0.6000  7  5.1429  68.6522  0.0687
330000  0.6667  8  5.0000  65.5786  0.0656
340000  0.6667  8  5.0000  65.4991  0.0655
350000  0.6833  8  5.1250  68.0030  0.0680
360000  0.6833  8  5.1250  67.8473  0.0678
370000  0.6833  8  5.1250  67.7673  0.0678
380000  0.7167  8  5.3750  70.4629  0.0705
390000  0.7667  8  5.7500  76.4880  0.0765
400000  0.7667  7  6.5714  89.3773  0.0894
410000  0.7667  7  6.5714  89.4486  0.0894
420000  0.7667  6  7.6667  107.9849  0.1080
430000  0.7667  6  7.6667  108.0896  0.1081
440000  0.7833  6  7.8333  110.3534  0.1104
450000  0.7667  6  7.6667  107.0035  0.1070
460000  0.7667  6  7.6667  107.1802  0.1072
470000  0.7500  6  7.5000  104.8277  0.1048
480000  0.7500  6  7.5000  105.0635  0.1051
490000  0.7500  6  7.5000  105.3151  0.1053
500000  0.7500  6  7.5000  105.5727  0.1056
510000  0.7833  6  7.8333  112.1219  0.1121
520000  0.7833  6  7.8333  112.2670  0.1123
530000  0.8000  6  8.0000  115.2546  0.1153
540000  0.8000  6  8.0000  115.4674  0.1155
550000  0.8167  6  8.1667  117.8163  0.1178
560000  0.8167  6  8.1667  118.0651  0.1181
570000  0.8167  6  8.1667  118.3263  0.1183
580000  0.8333  6  8.3333  121.0789  0.1211
590000  0.8500  6  8.5000  123.8919  0.1239
600000  0.8500  5  10.2000  151.9509  0.1520
610000  0.8667  5  10.4000  156.0431  0.1560
620000  0.9167  5  11.0000  165.5771  0.1656
630000  0.9167  5  11.0000  165.1283  0.1651
640000  0.9500  5  11.4000  170.0716  0.1701
650000  0.9167  4  13.7500  208.6613  0.2087
660000  0.9167  3  18.3333  283.1760  0.2832
670000  0.8833  3  17.6667  269.3641  0.2694
680000  0.8833  3  17.6667  269.6773  0.2697
690000  0.9167  3  18.3333  279.5837  0.2796
700000  0.9333  3  18.6667  286.4299  0.2864
710000  0.9333  3  18.6667  286.1394  0.2861
720000  0.9000  3  18.0000  272.1692  0.2722
730000  0.9000  3  18.0000  272.0336  0.2720
740000  0.9000  3  18.0000  271.9743  0.2720
750000  0.9000  2  27.0000  418.4066  0.4184
760000  0.9000  2  27.0000  418.2879  0.4183
770000  0.9000  2  27.0000  418.2126  0.4182
780000  0.8833  2  26.5000  407.6206  0.4076
790000  0.8667  2  26.0000  399.8781  0.3999
800000  0.8667  2  26.0000  399.8470  0.3998
810000  0.8667  2  26.0000  399.8102  0.3998
820000  0.8667  2  26.0000  399.7460  0.3997
830000  0.8667  2  26.0000  399.6656  0.3997
840000  0.8667  2  26.0000  399.5359  0.3995
850000  0.8667  2  26.0000  399.4343  0.3994
860000  0.8667  2  26.0000  399.4821  0.3995
870000  0.8667  2  26.0000  399.5416  0.3995
880000  0.8667  2  26.0000  399.5900  0.3996
890000  0.8667  2  26.0000  399.5961  0.3996
900000  0.8667  2  26.0000  399.6149  0.3996
910000  0.8667  2  26.0000  399.7367  0.3997
920000  0.8667  2  26.0000  399.9146  0.3999
930000  0.8667  2  26.0000  400.1199  0.4001
940000  0.8667  2  26.0000  400.3230  0.4003
950000  0.8667  2  26.0000  400.5540  0.4006
960000  0.8667  2  26.0000  400.8619  0.4009
970000  0.8667  2  26.0000  401.2975  0.4013
980000  0.8500  2  25.5000  391.2092  0.3912
990000  0.8500  2  25.5000  391.6345  0.3916
1000000  0.8667  2  26.0000  402.3810  0.4024
1010000  0.8667  2  26.0000  402.0028  0.4020
1020000  0.8667  2  26.0000  401.8494  0.4018
1030000  0.8667  2  26.0000  401.8333  0.4018
1040000  0.8667  2  26.0000  401.9544  0.4020
1050000  0.8667  2  26.0000  402.1734  0.4022
1060000  0.8667  2  26.0000  402.4928  0.4025
1070000  0.8667  2  26.0000  402.8918  0.4029
1080000  0.8667  2  26.0000  403.3019  0.4033
1090000  0.8667  2  26.0000  403.7356  0.4037
1100000  0.8667  2  26.0000  404.2212  0.4042
1110000  0.8667  2  26.0000  404.7503  0.4048
1120000  0.8667  2  26.0000  405.2950  0.4053
1130000  0.9000  2  27.0000  426.2466  0.4262
1140000  0.9000  2  27.0000  426.2148  0.4262
1150000  0.9000  2  27.0000  426.1979  0.4262
1160000  0.8833  2  26.5000  415.6843  0.4157
1170000  0.9000  2  27.0000  426.1602  0.4262
1180000  0.8667  2  26.0000  405.1272  0.4051
1190000  0.8667  2  26.0000  404.7610  0.4048
1200000  0.8667  2  26.0000  404.3826  0.4044
1210000  0.8667  2  26.0000  403.9797  0.4040
1220000  0.8667  2  26.0000  403.5888  0.4036
1230000  0.8667  2  26.0000  403.2310  0.4032
1240000  0.8667  2  26.0000  402.8938  0.4029
1250000  0.8833  2  26.5000  409.5315  0.4095
1260000  0.8833  2  26.5000  409.3006  0.4093
1270000  0.8833  2  26.5000  409.2628  0.4093
1280000  0.9000  1  54.0000  846.1326  0.8461
1290000  0.9000  1  54.0000  846.8206  0.8468
1300000  0.9333  1  56.0000  887.3152  0.8873
1310000  0.9333  1  56.0000  887.1715  0.8872
1320000  0.9333  1  56.0000  887.1268  0.8871
1330000  0.9333  1  56.0000  887.1796  0.8872
1340000  0.9333  1  56.0000  887.3595  0.8874
1350000  0.9333  1  56.0000  887.6812  0.8877
1360000  0.9167  1  55.0000  866.9488  0.8669
1370000  0.9167  1  55.0000  867.2935  0.8673
1380000  0.9333  1  56.0000  888.7686  0.8888
1390000  0.9333  1  56.0000  888.5446  0.8885
1400000  0.9333  1  56.0000  888.4061  0.8884
1410000  0.9500  1  57.0000  909.1612  0.9092
1420000  0.9500  1  57.0000  908.8780  0.9089
1430000  0.9500  1  57.0000  908.6398  0.9086
1440000  0.9500  1  57.0000  908.4587  0.9085
1450000  0.9500  1  57.0000  908.3660  0.9084
1460000  0.9500  1  57.0000  908.4446  0.9084
1470000  0.9500  1  57.0000  908.6295  0.9086
1480000  0.9500  1  57.0000  908.9540  0.9090
1490000  0.9500  1  57.0000  909.4957  0.9095
1500000  0.9500  1  57.0000  910.1932  0.9102
1510000  0.9500  1  57.0000  911.0317  0.9110
1520000  0.9500  1  57.0000  912.0276  0.9120
1530000  0.9500  1  57.0000  913.1678  0.9132
1540000  0.9833  1  59.0000  955.3352  0.9553
1550000  0.9833  1  59.0000  955.3062  0.9553
1560000  0.9833  1  59.0000  955.2975  0.9553
1570000  0.9667  1  58.0000  934.3179  0.9343
1580000  0.9667  1  58.0000  934.4268  0.9344
1590000  0.9667  1  58.0000  934.6945  0.9347
1600000  0.9667  1  58.0000  935.0997  0.9351
1610000  0.9667  1  58.0000  935.6581  0.9357
1620000  0.9833  1  59.0000  956.9246  0.9569
1630000  0.9500  1  57.0000  915.0901  0.9151
1640000  0.9500  1  57.0000  915.1848  0.9152
1650000  0.9500  1  57.0000  915.3199  0.9153
1660000  0.9500  1  57.0000  915.6094  0.9156
1670000  0.9667  1  58.0000  936.8979  0.9369
1680000  0.9667  1  58.0000  936.8936  0.9369
1690000  1.0000  1  60.0000  978.6546  0.9787
1700000  1.0000  1  60.0000  978.5422  0.9785
1710000  1.0000  1  60.0000  978.4694  0.9785
1720000  1.0000  1  60.0000  978.4605  0.9785
1730000  1.0000  1  60.0000  978.5322  0.9785
1740000  1.0000  1  60.0000  978.6857  0.9787
1750000  0.9667  1  58.0000  936.9386  0.9369
1760000  0.9667  1  58.0000  936.9998  0.9370
1770000  0.9667  1  58.0000  937.0974  0.9371
1780000  1.0000  1  60.0000  978.8854  0.9789
1790000  1.0000  1  60.0000  978.8738  0.9789
1800000  1.0000  1  60.0000  978.8603  0.9789
1810000  1.0000  1  60.0000  978.8983  0.9789
1820000  1.0000  1  60.0000  978.8895  0.9789
1830000  1.0000  1  60.0000  978.8924  0.9789
1840000  1.0000  1  60.0000  978.8939  0.9789
1850000  1.0000  1  60.0000  978.8901  0.9789
1860000  1.0000  1  60.0000  978.8552  0.9789
1870000  1.0000  1  60.0000  978.8790  0.9789
1880000  1.0000  1  60.0000  978.9376  0.9789
1890000  1.0000  1  60.0000  1000.0062  1.0000
1900000  1.0000  1  60.0000  1000.0062  1.0000
1910000  1.0000  1  60.0000  978.9849  0.9790
1920000  1.0000  1  60.0000  978.9498  0.9789
1930000  1.0000  1  60.0000  978.9516  0.9790
