362 181 
-2.999550 -0.132746 0.000000 
-2.986706 0.201302 0.000000 
-2.978087 -0.442743 0.000000 
-2.941185 0.510318 0.000000 
-2.929813 -0.725942 0.000000 
-2.870098 0.792425 0.000000 
-2.841592 -1.042762 0.000000 
-2.759312 0.023496 0.000000 
-2.754703 1.107305 0.000000 
-2.727255 -1.330640 0.000000 
-2.709391 -0.269617 0.000000 
-2.688721 0.312702 0.000000 
-2.657102 -0.814139 0.000000 
-2.618566 -0.537095 0.000000 
-2.612347 1.394199 0.000000 
-2.598646 0.854547 0.000000 
-2.587450 -1.599063 0.000000 
-2.580528 0.575092 0.000000 
-2.525114 -1.089440 0.000000 
-2.496173 0.014622 0.000000 
-2.448194 1.121861 0.000000 
-2.440439 1.663972 0.000000 
-2.426410 -1.845046 0.000000 
-2.401419 -0.273397 0.000000 
-2.392594 -1.355245 0.000000 
-2.383032 0.297842 0.000000 
-2.374690 -0.796980 0.000000 
-2.321397 0.821865 0.000000 
-2.298615 1.380271 0.000000 
-2.264921 -0.532475 0.000000 
-2.249890 -2.065246 0.000000 
-2.238473 1.916500 0.000000 
-2.238345 -1.610665 0.000000 
-2.233176 0.552514 0.000000 
-2.218583 -1.077281 0.000000 
-2.209069 0.008208 0.000000 
-2.148396 1.096731 0.000000 
-2.129686 1.628270 0.000000 
-2.079337 -0.268679 0.000000 
-2.066662 -1.347271 0.000000 
-2.066214 -0.800713 0.000000 
-2.063696 0.281568 0.000000 
-2.063279 -1.855908 0.000000 
-2.062852 -2.259028 0.000000 
-2.019008 0.816429 0.000000 
-1.998531 2.156573 0.000000 
-1.981030 1.366630 0.000000 
-1.947910 1.878994 0.000000 
-1.927557 -0.534191 0.000000 
-1.902717 -1.075825 0.000000 
-1.901019 0.545992 0.000000 
-1.900854 0.004227 0.000000 
-1.899523 -1.608488 0.000000 
-1.871927 -2.094699 0.000000 
-1.850068 -2.442428 0.000000 
-1.841486 1.094580 0.000000 
-1.807044 1.645084 0.000000 
-1.764527 2.345392 0.000000 
-1.755513 -0.268655 0.000000 
-1.748784 -0.804200 0.000000 
-1.743052 0.276068 0.000000 
-1.740723 -1.345744 0.000000 
-1.720290 -1.873450 0.000000 
-1.710706 0.819731 0.000000 
-1.691661 1.995962 0.000000 
-1.674193 1.382829 0.000000 
-1.633101 -2.597349 0.000000 
-1.604140 -2.215718 0.000000 
-1.598322 -0.537062 0.000000 
-1.585359 0.002567 0.000000 
-1.583042 -1.077597 0.000000 
-1.578787 0.547548 0.000000 
-1.573099 -1.618527 0.000000 
-1.539689 1.108070 0.000000 
-1.533160 1.707020 0.000000 
-1.502110 2.233635 0.000000 
-1.478521 2.529552 0.000000 
-1.432998 -0.269303 0.000000 
-1.431283 -1.928424 0.000000 
-1.428540 -0.808333 0.000000 
-1.424772 0.275628 0.000000 
-1.419981 -1.353440 0.000000 
-1.406747 -2.435913 0.000000 
-1.404919 0.828422 0.000000 
-1.387988 1.413513 0.000000 
-1.371265 -2.749072 0.000000 
-1.367300 1.980455 0.000000 
-1.273953 -0.539919 0.000000 
-1.268845 -1.645764 0.000000 
-1.268325 0.002426 0.000000 
-1.264746 -1.084236 0.000000 
-1.264647 -2.185476 0.000000 
-1.263545 0.551407 0.000000 
-1.245565 1.119306 0.000000 
-1.230425 1.695892 0.000000 
-1.217867 2.306357 0.000000 
-1.204323 2.666847 0.000000 
-1.122321 -2.498915 0.000000 
-1.121666 -2.863229 0.000000 
-1.112525 -0.270069 0.000000 
-1.109565 -0.813735 0.000000 
-1.108926 0.276573 0.000000 
-1.108857 -1.368200 0.000000 
-1.108525 -1.915612 0.000000 
-1.100763 0.831981 0.000000 
-1.089957 1.398273 0.000000 
-1.080932 1.995911 0.000000 
-0.980323 2.507686 0.000000 
-0.960974 -2.204892 0.000000 
-0.953395 -0.542946 0.000000 
-0.951593 0.002472 0.000000 
-0.950676 0.551901 0.000000 
-0.950457 -1.092974 0.000000 
-0.949989 -1.642801 0.000000 
-0.942113 1.107548 0.000000 
