53699 107242
14.857670 367.257009 30.634501
20.525939 192.080580 30.637370
25.926845 200.908306 30.845174
26.460495 195.345584 23.003909
28.607823 203.871326 62.352094
29.618340 201.289762 25.298221
30.616037 367.257009 36.370079
32.292689 367.257009 55.534288
32.498827 191.659835 14.276167
33.724824 208.049547 36.366211
37.682828 195.345584 12.465439
45.869578 8.893549 43.599937
46.999905 195.345584 8.081154
48.000543 6.355372 44.147079
50.596144 8.893549 36.152063
61.506240 4.247600 56.649729
63.424628 6.355372 58.631261
63.811928 4.247600 38.398310
64.104497 8.893549 60.723664
64.834270 6.355372 36.225727
67.341700 8.893549 59.200353
82.303138 210.138798 50.062229
82.554539 191.659835 11.126927
82.554539 191.659835 83.171942
85.859852 367.257009 52.885012
85.878590 195.345584 15.497658
87.095232 367.257009 55.534288
88.304884 198.535662 74.016883
89.639133 195.345584 75.269828
90.283997 204.348472 62.072740
91.446663 198.535662 24.079747
92.927426 195.345584 23.003909
94.835778 199.091853 30.531940
95.756999 197.736940 63.882249
103.589311 176.284322 33.936522
104.001446 173.722443 34.647970
104.636062 168.460667 36.216817
116.141209 367.257009 38.764583
82.139777 210.230504 48.746020
82.069482 210.269701 47.419079
82.102206 210.251468 46.090151
82.232699 210.178353 44.769313
82.447960 210.056785 43.463462
82.766837 209.873618 42.186077
83.163850 209.641742 40.938705
83.677615 209.330078 39.752825
84.228175 208.991690 38.591130
84.880934 208.569628 37.513511
85.581801 208.103764 36.483881
86.354934 207.557619 35.551772
87.153079 206.979818 34.658997
88.004816 206.311615 33.888991
88.876314 205.596610 33.183524
89.759328 204.830213 32.553547
90.648901 203.998730 32.019160
91.530413 203.110026 31.571376
92.396103 202.170778 31.202209
93.230887 201.173468 30.927791
94.046889 200.148080 30.701776
82.270921 192.890457 11.573838
81.987302 194.121079 12.020750
81.685097 195.345584 12.454446
80.511173 195.345584 11.809076
79.337249 195.345584 11.163706
78.163326 195.345584 10.518335
76.975854 195.345584 9.898247
75.730548 195.345584 9.404557
74.484995 195.345584 8.911407
73.239441 195.345584 8.418258
71.974761 195.345584 7.976502
70.677629 195.345584 7.642001
69.380089 195.345584 7.308849
68.082549 195.345584 6.975697
66.767373 195.345584 6.721179
65.438587 195.345584 6.551537
64.109524 195.345584 6.383637
62.780460 195.345584 6.215736
61.442407 195.345584 6.153370
60.102818 195.345584 6.151670
58.763191 195.345584 6.151670
57.423564 195.345584 6.151670
56.090559 195.345584 6.282266
54.761357 195.345584 6.448955
53.432294 195.345584 6.616855
52.103231 195.345584 6.784755
51.902629 194.172027 6.302324
51.802793 192.941430 5.782484
51.703611 191.710808 5.262549
50.425545 191.659835 5.568111
49.128005 191.659835 5.901262
47.830466 191.659835 6.234414
46.532926 191.659835 6.567566
46.672773 192.884340 7.074348
46.836339 194.114962 7.577751
45.800790 195.345584 8.555917
44.601676 195.345584 9.030679
43.402562 195.345584 9.505442
42.203448 195.345584 9.980205
41.073293 195.345584 10.601513
39.943138 195.345584 11.222822
38.812983 195.345584 11.844131
37.399540 194.116399 12.019050
37.116253 192.887214 11.572660
36.828889 191.659835 11.130192
35.746373 191.659835 11.916686
34.663858 191.659835 12.703179
33.581342 191.659835 13.489673
94.462612 198.814414 29.389340
94.089446 198.536976 28.246739
93.429644 198.535662 27.204430
92.768651 198.535662 26.162869
92.107657 198.535662 25.121308
91.940251 197.472303 23.721134
92.433839 196.408944 23.362522
92.105353 195.345584 22.010194
91.283280 195.345584 21.016479
90.461206 195.345584 20.022763
89.639133 195.345584 19.029048
88.698997 195.345584 18.146200
87.758862 195.345584 17.263353
86.818726 195.345584 16.380505
86.215589 194.116399 15.090295
86.552588 192.887214 14.682931
86.884597 191.659835 14.272902
85.802083 191.659835 13.486408
84.719568 191.659835 12.699915
83.637054 191.659835 11.913421
89.380746 205.170320 61.497143
88.489934 205.915405 60.808185
87.608766 206.632594 60.079939
86.768182 207.263191 59.232157
85.967485 207.837276 58.309844
85.230556 208.337113 57.296837
84.532567 208.797261 56.236399
83.918980 209.183808 55.098935
83.380846 209.511998 53.905358
82.935164 209.775589 52.659360
82.576218 209.983230 51.374319
32.824689 192.848395 14.670066
33.150552 194.036955 15.063966
33.476415 195.225515 15.457866
32.590703 195.345584 16.360309
31.647535 195.345584 17.246003
30.704367 195.345584 18.131696
29.764272 195.345584 19.020290
28.934666 195.345584 20.013149
28.109942 195.345584 21.010069
27.285218 195.345584 22.006989
27.034001 196.581115 23.420586
27.607507 197.816646 23.837262
28.232283 199.013583 24.291190
28.925312 200.151672 24.794706
28.900766 201.289762 26.428938
28.183192 201.289762 27.559655
27.465617 201.289762 28.690372
26.710233 201.159429 29.788445
34.434512 208.525349 37.374631
35.083063 208.943466 38.447593
35.656651 209.299659 39.583729
36.148841 209.596175 40.773750
36.571653 209.845155 42.000549
36.892760 210.029779 43.268960
37.139079 210.169414 44.560107
37.250130 210.231568 45.875437
37.321266 210.271267 47.194909
37.241526 210.226705 48.513027
37.124432 210.161170 49.828107
36.866299 210.014522 51.116091
36.545117 209.829595 52.384313
36.104623 209.568601 53.602019
35.620194 209.277623 54.797177
35.036611 208.913487 55.925200
34.383194 208.490305 56.992827
33.670834 208.011418 57.997339
32.896105 207.462518 58.917193
32.091138 206.870983 59.781557
31.243953 206.208799 60.550030
30.373782 205.487064 61.234849
29.491681 204.703953 61.830158
26.786375 201.907191 31.150973
27.652530 202.892095 31.479338
28.545688 203.810095 31.913575
29.450012 204.665055 32.443668
30.350449 205.455882 33.068450
31.244216 206.209221 33.748820
32.105259 206.877044 34.548491
32.936485 207.492239 35.420565
29.225081 203.871337 63.561530
29.916716 203.871340 64.730638
30.629428 203.871340 65.887106
31.378272 203.871339 67.020228
32.182899 203.871339 68.114017
33.015555 203.871339 69.187402
33.912698 203.871339 70.207439
34.834798 203.871339 71.204174
35.795419 203.871339 72.164735
36.801632 203.871339 73.076746
37.830468 203.871339 73.963249
38.903905 203.871339 74.795838
40.006441 203.871339 75.588375
41.129991 203.871339 76.351989
42.298418 203.871339 77.044889
43.483356 203.871339 77.707972
44.693752 203.871339 78.324748
45.932517 203.871339 78.881237
47.184926 203.871339 79.406471
48.463081 203.871339 79.866679
49.756532 203.871339 80.279810
51.061085 203.871339 80.658774
52.386399 203.871339 80.956875
53.718221 203.871339 81.221459
55.059984 203.871339 81.433931
56.410067 203.871339 81.580533
57.763473 203.871339 81.693203
59.121285 203.871339 81.735832
60.479097 203.871339 81.729162
61.836910 203.871339 81.686533
63.189476 203.871339 81.560523
64.537888 203.871339 81.400685
65.879650 203.871339 81.188213
67.208967 203.871339 80.910498
68.530964 203.871339 80.599476
69.835517 203.871339 80.220512
71.124837 203.871339 79.794669
72.402992 203.871339 79.334460
73.650490 203.871339 78.796822
74.883564 203.871339 78.228238
76.093960 203.871339 77.611462
77.272471 203.871339 76.936689
78.433736 203.871339 76.232504
79.557286 203.871339 75.468889
80.651980 203.871339 74.665558
81.725417 203.871339 73.832969
82.745733 203.871339 72.936167
83.742813 203.871339 72.014432
84.703435 203.871339 71.053871
85.615791 203.871339 70.047985
86.502655 203.871339 69.019445
87.335310 203.871339 67.946060
88.144828 203.859778 66.855507
88.916040 203.829333 65.737674
89.618114 203.833181 64.575534
90.189060 203.942523 63.352607
103.360748 177.535188 33.601552
103.111004 178.784657 33.276652
102.839325 180.032236 32.962263
102.549587 181.277972 32.656832
102.239173 182.521155 32.361880
101.884082 183.757918 32.091794
101.509355 184.991505 31.833041
101.126426 186.223558 31.579061
100.723896 187.451316 31.338022
100.259992 188.665379 31.138136
99.793852 189.878860 30.939926
99.306612 191.086132 30.758033
98.767949 192.277337 30.617944
98.196297 193.456343 30.507938
97.596389 194.623438 30.426121
96.957916 195.772169 30.385691
96.277801 196.896695 30.396990
95.558853 197.995810 30.461496
104.477408 169.776111 35.824606
104.318754 171.091555 35.432394
104.160100 172.406999 35.040182
116.142066 365.907533 38.764583
116.142923 364.558056 38.764583
116.143781 363.208580 38.764583
116.144638 361.859103 38.764583
116.145495 360.509627 38.764583
116.146353 359.160150 38.764583
116.147210 357.810674 38.764583
116.148067 356.461197 38.764583
116.148925 355.111721 38.764583
116.149782 353.762244 38.764583
116.150639 352.412768 38.764583
116.151497 351.063291 38.764583
116.152354 349.713815 38.764583
116.153211 348.364338 38.764583
116.154069 347.014862 38.764583
116.154926 345.665385 38.764583
116.155783 344.315909 38.764583
116.156641 342.966432 38.764583
116.157498 341.616956 38.764583
116.158356 340.267479 38.764583
116.159213 338.918003 38.764583
116.160070 337.568526 38.764583
116.160928 336.219050 38.764583
116.161785 334.869573 38.764583
116.162642 333.520097 38.764583
116.163500 332.170620 38.764583
116.164357 330.821144 38.764583
116.165214 329.471667 38.764583
116.166072 328.122191 38.764583
116.166929 326.772714 38.764583
116.167786 325.423238 38.764583
116.168644 324.073761 38.764583
116.169501 322.724285 38.764583
116.170358 321.374808 38.764583
116.171216 320.025332 38.764583
116.172073 318.675855 38.764583
116.172930 317.326379 38.764583
116.173788 315.976902 38.764583
116.174645 314.627426 38.764583
116.175502 313.277949 38.764583
116.176360 311.928473 38.764583
116.177217 310.578996 38.764583
116.178075 309.229520 38.764583
116.178932 307.880043 38.764583
116.179789 306.530567 38.764583
116.180647 305.181090 38.764583
116.181504 303.831614 38.764583
116.182361 302.482137 38.764583
116.183219 301.132661 38.764583
116.184076 299.783184 38.764583
116.184933 298.433708 38.764583
116.185411 297.084231 38.764583
116.184553 295.734755 38.764583
116.183696 294.385278 38.764583
116.182839 293.035802 38.764583
116.181981 291.686325 38.764583
116.181124 290.336848 38.764583
116.180267 288.987372 38.764583
116.179409 287.637895 38.764583
116.178552 286.288419 38.764583
116.177695 284.938942 38.764583
116.176837 283.589466 38.764583
116.175980 282.239989 38.764583
116.175123 280.890513 38.764583
116.174265 279.541036 38.764583
116.173408 278.191560 38.764583
116.172551 276.842083 38.764583
116.171693 275.492607 38.764583
116.170836 274.143130 38.764583
116.169979 272.793654 38.764583
116.169121 271.444177 38.764583
116.168264 270.094701 38.764583
116.167406 268.745224 38.764583
116.166549 267.395748 38.764583
116.165692 266.046271 38.764583
116.164834 264.696795 38.764583
116.163977 263.347318 38.764583
116.163120 261.997842 38.764583
116.162262 260.648365 38.764583
116.161405 259.298889 38.764583
116.160548 257.949412 38.764583
116.159690 256.599936 38.764583
116.158833 255.250459 38.764583
116.157976 253.900983 38.764583
116.157118 252.551506 38.764583
116.156261 251.202030 38.764583
116.155404 249.852553 38.764583
116.154546 248.503077 38.764583
116.153689 247.153600 38.764583
116.152832 245.804124 38.764583
116.151974 244.454647 38.764583
116.151117 243.105171 38.764583
116.150259 241.755694 38.764583
116.149402 240.406218 38.764583
116.148545 239.056741 38.764583
116.147687 237.707265 38.764583
116.146830 236.357788 38.764583
116.145973 235.008312 38.764583
116.145115 233.658835 38.764583
116.144258 232.309359 38.764583
116.143401 230.959882 38.764583
116.142543 229.610406 38.764583
116.141686 228.260929 38.764583
116.127967 226.911599 38.764583
116.098086 225.562453 38.764583
116.016685 224.215557 38.764583
115.908455 222.870737 38.764102
115.759770 221.529477 38.762666
115.568231 220.193858 38.763474
115.358713 218.860795 38.765504
115.128829 217.531049 38.769548
114.898944 216.201303 38.773592
114.669060 214.871557 38.777636
114.439175 213.541811 38.781680
114.209291 212.212065 38.785724
113.979407 210.882319 38.789768
113.749522 209.552573 38.793812
113.519638 208.222827 38.797857
113.289753 206.893081 38.801901
113.059869 205.563335 38.805945
112.829545 204.233665 38.809837
112.596769 202.904419 38.812883
112.363993 201.575174 38.815929
112.131217 200.245928 38.818975
111.898441 198.916683 38.822021
111.665665 197.587437 38.825067
111.432889 196.258192 38.828112
111.200113 194.928946 38.831158
110.967337 193.599701 38.834204
110.734561 192.270455 38.837250
110.501785 190.941210 38.840296
110.269041 189.611959 38.843540
110.036683 188.282649 38.849186
109.804325 186.953339 38.854832
109.571967 185.624029 38.860478
109.339610 184.294719 38.866124
109.107252 182.965408 38.871770
108.874894 181.636098 38.877416
108.642536 180.306788 38.883062
108.410178 178.977478 38.888708
108.177820 177.648168 38.894354
107.945463 176.318858 38.900000
107.713107 174.989547 38.905650
107.484481 173.659631 38.917495
107.255856 172.329714 38.929340
107.027230 170.999798 38.941184
106.798605 169.669881 38.953029
106.569979 168.339965 38.964874
106.341354 167.010049 38.976719
106.112728 165.680132 38.988564
105.884103 164.350216 39.000409
105.655477 163.020299 39.012254
105.426852 161.690383 39.024098
105.198226 160.360467 39.035943
105.224166 159.106939 39.492517
105.258619 157.870354 40.031722
105.291335 156.636604 40.577476
105.320825 155.410447 41.139805
105.339276 154.220454 41.775582
105.354364 153.055816 42.456589
105.364518 151.944812 43.221808
105.371264 150.915865 44.093459
105.375276 150.031418 45.108722
105.377145 149.442223 46.315211
105.377355 149.364740 47.651473
105.375918 149.847923 48.903310
105.372548 150.672277 49.967784
105.366700 151.674336 50.869410
105.356458 152.778178 51.643728
105.343373 153.925883 52.353169
105.325539 155.109201 53.000016
105.301608 156.323070 53.589036
105.271568 157.549592 54.150838
105.229483 158.796893 54.664217
105.184795 160.048445 55.166846
105.132955 161.305953 55.653195
105.060384 162.576440 56.102286
104.985805 163.847544 56.549283
104.907867 165.119678 56.992779
104.818492 166.395225 57.423870
104.708895 167.675879 57.834826
104.589030 168.958148 58.237937
104.449947 170.241986 58.629649
104.282217 171.527057 59.005877
104.112143 172.812190 59.380814
103.936521 174.097470 59.752701
103.742572 175.382531 60.115680
103.518232 176.666728 60.464207
103.275346 177.949909 60.804030
103.014636 179.231779 61.135348
102.728996 180.511420 61.454604
102.423178 181.788872 61.763736
102.092007 183.063126 62.059711
101.732393 184.333126 62.339987
101.336003 185.596886 62.598582
100.931165 186.859008 62.852026
100.482437 188.111245 63.076129
100.002026 189.356010 63.278179
99.511523 190.598080 63.472490
98.977838 191.826871 63.632341
98.405636 193.042280 63.758892
97.786087 194.238455 63.838964
97.153215 195.428496 63.904963
96.470945 196.592280 63.913858
85.455815 367.257009 51.602820
85.154637 367.257009 50.293076
84.958874 367.257009 48.963815
84.869254 367.257009 47.623455
84.886535 367.257009 46.280395
85.010452 367.257009 44.943037
85.240268 367.257009 43.619781
85.574575 367.257009 42.318910
86.011195 367.257009 41.048572
86.547599 367.257009 39.816788
87.180222 367.257009 38.631200
87.905451 367.257009 37.499426
88.723748 367.257009 36.432818
89.626761 367.257009 35.437296
90.605668 367.257009 34.516816
91.654505 367.257009 33.677340
92.766532 367.257009 32.923909
93.934840 367.257009 32.261357
95.152074 367.257009 31.693751
96.410592 367.257009 31.224655
97.702551 367.257009 30.857090
99.019806 367.257009 30.593240
100.354164 367.257009 30.435027
101.697224 367.257009 30.383188
103.040284 367.257009 30.441939
104.373442 367.257009 30.613870
105.688296 367.257009 30.891335
106.976691 367.257009 31.272202
108.230481 367.257009 31.754288
109.441895 367.257009 32.334375
110.603291 367.257009 33.008898
111.707419 367.257009 33.773611
112.747370 367.257009 34.623676
113.716540 367.257009 35.553894
114.608979 367.257009 36.558290
115.418706 367.257009 37.630894
82.540576 211.469803 50.062156
82.778014 212.800808 50.062082
83.015452 214.131813 50.062008
83.252889 215.462818 50.061934
83.490327 216.793823 50.061861
83.724624 218.125382 50.061791
83.956712 219.457330 50.061723
84.188800 220.789278 50.061656
84.420888 222.121226 50.061589
84.652976 223.453174 50.061522
84.868068 224.784098 50.021980
85.048824 226.036105 50.096706
85.382696 226.160799 51.383552
85.726485 225.981017 52.677551
86.226489 225.794018 53.917424
86.816065 225.710855 55.120478
87.129353 226.658491 55.668673
87.095357 227.999232 55.534288
87.095703 229.351249 55.534288
87.096049 230.703266 55.534288
87.096395 232.055284 55.534288
87.096741 233.407301 55.534288
87.097087 234.759318 55.534288
87.097433 236.111336 55.534288
87.097779 237.463353 55.534288
87.098125 238.815370 55.534288
87.098471 240.167387 55.534288
87.098817 241.519405 55.534288
87.099163 242.871422 55.534288
87.099509 244.223439 55.534288
87.099854 245.575456 55.534288
87.100200 246.927474 55.534288
87.100546 248.279491 55.534288
87.100892 249.631508 55.534288
87.101238 250.983525 55.534288
87.101584 252.335543 55.534288
87.101930 253.687560 55.534288
87.102276 255.039577 55.534288
87.102622 256.391594 55.534288
87.102968 257.743612 55.534288
87.103314 259.095629 55.534288
87.103660 260.447646 55.534288
87.104006 261.799663 55.534288
87.104352 263.151681 55.534288
87.104698 264.503698 55.534288
87.105043 265.855715 55.534288
87.105389 267.207732 55.534288
87.105735 268.559750 55.534288
87.106081 269.911767 55.534288
87.106427 271.263784 55.534288
87.106773 272.615801 55.534288
87.107119 273.967819 55.534288
87.107465 275.319836 55.534288
87.107811 276.671853 55.534288
87.108157 278.023870 55.534288
87.108503 279.375888 55.534288
87.108849 280.727905 55.534288
87.109195 282.079922 55.534288
87.109541 283.431939 55.534288
87.109887 284.783957 55.534288
87.110232 286.135974 55.534288
87.110578 287.487991 55.534288
87.110924 288.840009 55.534288
87.111270 290.192026 55.534288
87.111616 291.544043 55.534288
87.111962 292.896060 55.534288
87.112308 294.248078 55.534288
87.112654 295.600095 55.534288
87.113000 296.952112 55.534288
87.112875 298.304129 55.534288
87.112529 299.656147 55.534288
87.112183 301.008164 55.534288
87.111837 302.360181 55.534288
87.111491 303.712198 55.534288
87.111145 305.064216 55.534288
87.110799 306.416233 55.534288
87.110453 307.768250 55.534288
87.110107 309.120267 55.534288
87.109761 310.472285 55.534288
87.109415 311.824302 55.534288
87.109069 313.176319 55.534288
87.108723 314.528336 55.534288
87.108377 315.880354 55.534288
87.108032 317.232371 55.534288
87.107686 318.584388 55.534288
87.107340 319.936405 55.534288
87.106994 321.288423 55.534288
87.106648 322.640440 55.534288
87.106302 323.992457 55.534288
87.105956 325.344474 55.534288
87.105610 326.696492 55.534288
87.105264 328.048509 55.534288
87.104918 329.400526 55.534288
87.104572 330.752543 55.534288
87.104226 332.104561 55.534288
87.103880 333.456578 55.534288
87.103534 334.808595 55.534288
87.103188 336.160613 55.534288
87.102843 337.512630 55.534288
87.102497 338.864647 55.534288
87.102151 340.216664 55.534288
87.101805 341.568682 55.534288
87.101459 342.920699 55.534288
87.101113 344.272716 55.534288
87.100767 345.624733 55.534288
87.100421 346.976751 55.534288
87.100075 348.328768 55.534288
87.099729 349.680785 55.534288
87.099383 351.032802 55.534288
87.099037 352.384820 55.534288
87.098691 353.736837 55.534288
87.098345 355.088854 55.534288
87.097999 356.440871 55.534288
