30153 60116
1.000000 48.051472 36.135512
1.000000 54.876679 34.932043
1.000000 54.876679 74.843170
32.604807 34.829321 57.146401
32.604807 46.123417 36.711278
32.604807 54.876679 34.713403
32.604807 54.876679 75.061811
32.604807 71.958666 65.620930
62.800429 40.408650 24.844435
62.800429 65.889967 23.413434
62.800429 83.111047 72.628434
62.800429 88.012421 51.154108
69.727957 68.709290 17.188675
69.727957 94.856806 51.127285
73.543681 61.947199 12.191861
73.543681 65.914221 13.041564
73.543681 96.452478 42.872116
73.543681 97.394937 46.818133
77.628319 17.131362 81.243969
77.628319 37.010257 97.315873
77.628319 62.398014 9.469595
77.628319 99.103337 42.106014
77.628319 100.913256 54.887609
86.465965 4.549660 52.526071
86.465965 13.568233 83.731982
86.465965 35.323683 101.321066
86.465965 53.695585 105.256156
86.465965 103.278301 68.875777
86.465965 105.259070 54.887609
105.753621 38.687677 3.425821
105.753621 43.577770 2.135984
115.560867 1.885788 52.401072
115.560867 34.288718 5.996371
115.560867 38.957432 4.283313
115.560867 53.633067 107.922232
115.560867 86.259110 97.658626
115.560867 105.840251 69.616186
115.560867 107.925876 54.887609
120.362051 85.598551 96.758355
120.362051 92.866986 19.479568
120.362051 98.802919 27.184211
120.362051 103.198141 73.914666
125.041285 44.324576 5.622625
125.041285 91.732975 20.536497
125.041285 97.491717 28.011157
125.041285 105.259070 54.887609
129.559475 36.088541 10.270500
141.779285 29.629722 23.660345
141.779285 39.292237 17.878473
141.779285 39.292237 91.896746
141.779285 46.466274 94.153567
148.706813 34.086155 28.817120
148.706813 40.408650 84.930781
148.706813 47.456628 87.396977
148.706813 69.344708 24.844435
160.570705 68.353505 76.335853
160.570705 70.670204 74.692065
164.957311 67.335507 74.715713
178.902442 34.702473 54.887609
178.902442 34.829321 52.628813
178.902442 46.123417 73.063943
178.902442 57.135472 74.934967
178.902442 63.629941 36.711278
178.902442 67.455094 70.660439
178.902442 74.924037 57.146401
178.902442 75.050881 54.887609
210.507242 34.921114 54.887609
210.507242 58.341927 35.235215
210.507242 74.832241 54.887609
210.507242 34.978283 56.192026
210.507242 35.110669 57.489857
210.507242 35.318520 58.777755
210.507242 35.601225 60.052451
210.507242 35.993744 61.297723
210.507242 36.457754 62.516974
210.507242 36.991856 63.707199
210.507242 37.594650 64.865393
210.507242 38.296279 65.966524
210.507242 39.059993 67.024183
210.507242 39.883891 68.035653
210.507242 40.766068 68.998221
210.507242 41.728634 69.880399
210.507242 42.740105 70.704296
210.507242 43.797763 71.468010
210.507242 44.898895 72.169638
210.507242 46.057089 72.772432
210.507242 47.247314 73.306535
210.507242 48.466564 73.770546
210.507242 49.711836 74.163066
210.507242 50.986532 74.445771
210.507242 52.274440 74.653549
210.507242 53.572257 74.786112
210.507242 54.876679 74.843170
210.507242 56.181101 74.786112
210.507242 57.478918 74.653549
210.507242 58.766826 74.445771
210.507242 60.041522 74.163065
210.507242 61.286793 73.770545
210.507242 62.506044 73.306534
210.507242 63.696269 72.772432
210.507242 64.854463 72.169638
210.507242 65.955594 71.468009
210.507242 67.013252 70.704295
210.507242 68.024722 69.880397
210.507242 68.987290 68.998219
210.507242 69.869467 68.035652
210.507242 70.693365 67.024182
210.507242 71.457080 65.966524
210.507242 72.158708 64.865393
210.507242 72.761502 63.707199
210.507242 73.295604 62.516974
210.507242 73.759615 61.297723
210.507242 74.152136 60.052452
210.507242 74.434841 58.777755
210.507242 74.642692 57.489857
210.507242 74.775075 56.192026
178.902442 34.765897 53.758211
180.218129 34.762644 54.887609
181.533815 34.822815 54.887609
182.849501 34.882986 54.887609
184.166011 34.921114 54.887609
185.483072 34.921114 54.887609
186.800134 34.921114 54.887609
188.117196 34.921114 54.887609
189.434257 34.921114 54.887609
190.751319 34.921114 54.887609
192.068380 34.921114 54.887609
193.385442 34.921114 54.887609
194.702503 34.921114 54.887609
196.019565 34.921114 54.887609
197.336627 34.921114 54.887609
198.653688 34.921114 54.887609
199.970750 34.921114 54.887609
201.287811 34.921114 54.887609
202.604873 34.921114 54.887609
203.921934 34.921114 54.887609
205.238996 34.921114 54.887609
206.556057 34.921114 54.887609
207.873119 34.921114 54.887609
209.190181 34.921114 54.887609
148.706813 39.245353 84.287852
148.706813 38.082127 83.644795
148.706813 36.932555 82.977728
148.706813 35.848559 82.208591
148.706813 34.765003 81.438860
148.706813 33.713906 80.625433
148.706813 32.722842 79.739763
148.706813 31.733004 78.852803
148.706813 30.798587 77.907621
148.706813 29.912918 76.916557
148.706813 29.029760 75.923424
148.706813 28.228050 74.863318
148.706813 27.458914 73.779322
148.706813 26.694111 72.692569
148.706813 26.038694 71.536265
148.706813 25.396215 70.372721
148.706813 24.769448 69.200992
148.706813 24.260808 67.973025
148.706813 23.754007 66.744326
148.706813 23.287055 65.500165
148.706813 22.919101 64.222969
148.706813 22.554970 62.944773
148.706813 22.255561 61.649956
148.706813 22.032921 60.339593
148.706813 21.816608 59.028380
148.706813 21.689514 57.705411
148.706813 21.614989 56.378360
